login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
getify,getify/mpAjax,2010-09-24T15:04:21Z,23,23,JavaScript,True,True,
benawad,benawad/Grayscale_Django,2014-11-08T04:11:35Z,3,3,Python,True,True,
steveklabnik,steveklabnik/rust-sqlite3,2014-10-30T04:28:48Z,1,1,,True,True,mit
cloudflare,cloudflare/lua-cmsgpack,2013-06-23T06:44:38Z,14,14,C,False,True,
jbogard,jbogard/fluent-nhibernate,2009-09-23T20:42:19Z,4,4,C#,True,False,bsd-3-clause
EvanBacon,EvanBacon/Scenekit-Earth,2016-09-14T19:08:02Z,1,1,Swift,True,True,
progrium,progrium/shdh-badger,2011-10-24T05:38:11Z,2,2,,True,True,
oracle,oracle/oracle-nosql-drivers,2014-06-10T01:30:30Z,4,4,C,True,False,
GeostatsGuy,GeostatsGuy/GSLIBTools,2017-12-25T23:20:47Z,1,1,Fortran,True,True,
benlesh,benlesh/jquery.lesh.selectors.js,2012-06-11T03:43:49Z,0,0,JavaScript,True,True,gpl-3.0
ContinuumIO,ContinuumIO/quepy,2014-09-04T04:20:06Z,2,2,,True,True,other
davatron5000,davatron5000/Borkers,2010-12-09T16:28:58Z,22,22,PHP,True,False,
schneems,schneems/DelayedLog,2011-07-28T14:31:16Z,1,1,,True,True,
wardviaene,wardviaene/spark,2014-09-05T12:52:43Z,0,0,,True,False,apache-2.0
mikermcneil,mikermcneil/node-ws-client,2012-12-16T00:49:49Z,1,1,JavaScript,True,True,mit
SlexAxton,SlexAxton/jquery-google-analytics,2010-01-18T23:32:11Z,6,6,JavaScript,True,True,
kentonv,kentonv/capnp-vs-ice,2013-12-13T21:53:47Z,18,18,C++,True,True,
pfrazee,pfrazee/lugg,2012-07-09T22:08:59Z,1,1,Shell,True,True,
dhg,dhg/sublime-snippets,2012-06-24T17:47:59Z,7,7,,True,True,
aweary,aweary/javascript6_examples,2014-10-01T02:03:37Z,0,0,,True,True,
hdm,hdm/inetdata-parsers,2016-12-07T04:14:05Z,55,55,Go,True,True,mit
mrocklin,mrocklin/scipy,2011-03-27T02:55:42Z,1,1,C,True,False,other
JessicaSachs,JessicaSachs/node-stats,2022-01-11T14:00:39Z,0,0,,True,True,
codinghemp,codinghemp/Scrabbling-Java-With-CF,2023-02-26T22:01:43Z,4,4,,True,True,mit
srowen,srowen/zxing-bsplus,2014-01-23T20:44:07Z,20,20,Java,False,True,apache-2.0
ruotianluo,ruotianluo/neuraltalk2-resnet,2016-02-05T21:30:54Z,6,6,Jupyter Notebook,True,True,
aaronabramov,aaronabramov/backbone,2013-01-05T04:43:33Z,0,0,JavaScript,True,True,mit
pry0cc,pry0cc/docker-ngircd,2017-12-26T21:17:22Z,2,2,,True,True,mit
teoliphant,teoliphant/numpy-refactor,2010-04-29T15:32:26Z,20,20,C,True,True,bsd-3-clause
PaulRashidi,PaulRashidi/appengine-endpoints-helloendpoints-android,2016-04-18T17:03:20Z,0,0,Java,True,True,apache-2.0
brianc,brianc/pdbh,2009-07-11T20:04:10Z,1,1,JavaScript,True,True,
nathanchapman,nathanchapman/bash-functions,2018-10-20T15:26:56Z,31,31,Shell,False,False,
thirtythreeforty,thirtythreeforty/smullprop,2013-09-03T17:49:54Z,0,0,,True,False,gpl-3.0
leecalcote,leecalcote/PlexConnect,2015-11-02T12:53:45Z,0,0,Python,True,True,other
apoelstra,apoelstra/jansson,2014-01-27T00:00:50Z,0,0,C,True,True,mit
ericclemmons,ericclemmons/capistrano-svn-deployment,2009-08-12T15:32:44Z,1,1,Python,True,True,
jduck,jduck/idarub,2012-01-31T20:23:20Z,4,4,Ruby,True,True,
nateraw,nateraw/Tensorflow-for-NLP,2017-12-03T22:23:47Z,15,15,Python,True,True,
Ir1d,Ir1d/Quake-III-Arena,2015-01-30T05:56:43Z,1,1,C,True,False,gpl-2.0
wybiral,wybiral/classyjs,2013-11-30T20:44:36Z,0,0,JavaScript,True,True,other
tpolecat,tpolecat/wat-collection,2013-02-12T06:05:12Z,0,0,Haskell,True,True,
billerickson,billerickson/Custom-Metaboxes-and-Fields-for-WordPress,2011-08-31T12:33:35Z,8,8,PHP,True,False,
adamstac,adamstac/jquery-qt-controller,2008-03-20T07:02:03Z,20,20,JavaScript,True,True,mit
a-robinson,a-robinson/fluentd,2014-06-02T23:37:29Z,0,0,Ruby,True,True,other
hxlnt,hxlnt/docpad-skeleton-beginner,2016-06-27T06:36:42Z,0,0,CoffeeScript,True,True,
ACyphus,ACyphus/twitter-linker-js,2013-01-12T10:08:06Z,1,1,JavaScript,True,True,
shergin,shergin/downright,2009-09-29T17:56:12Z,2,2,,True,True,
lecoursen,lecoursen/empty,2019-06-03T16:12:07Z,13,13,,True,True,
jnewland,jnewland/lazy_record,2008-01-27T02:42:01Z,16,16,Ruby,True,True,other
KilledByAPixel,KilledByAPixel/LudumDare44,2019-05-02T03:45:21Z,3,3,JavaScript,True,True,
devinsays,devinsays/foghorn,2011-06-11T20:48:01Z,18,18,PHP,True,True,gpl-2.0
aaronj1335,aaronj1335/the-geometry-of-innocent-signals-on-the-wire,2012-01-08T19:42:45Z,15,15,Objective-C,True,True,
MrChromebox,MrChromebox/stk-editor,2015-09-30T19:53:05Z,3,3,C++,True,True,gpl-3.0
hone,hone/napkins,2008-09-22T18:28:54Z,3,3,,True,True,
caniszczyk,caniszczyk/mylyn-wikitext-examples,2010-03-08T18:02:50Z,2,2,,True,True,
juliacodes,juliacodes/codewithjulia.codes,2018-11-19T02:16:27Z,2,2,HTML,True,True,
danielfrg,danielfrg/django-ddns,2012-10-21T03:31:59Z,1,1,Python,True,True,
yukezhu,yukezhu/Vim-Setting,2012-01-17T04:07:27Z,1,1,VimL,True,True,
bmeck,bmeck/sql.js,2011-01-24T18:09:16Z,2,2,,True,True,
Empact,Empact/html_test,2008-04-16T09:17:47Z,9,9,Ruby,True,True,
hu-po,hu-po/StereoCam,2015-11-03T13:58:02Z,0,0,,True,True,
HarshKapadia2,HarshKapadia2/IoT_Firefighting_Robot,2019-10-02T05:29:28Z,4,4,C++,True,True,mit
thinkyhead,thinkyhead/Legacy-XCode-Scripts,2011-08-12T03:46:59Z,11,11,Shell,True,True,
CodyJasonBennett,CodyJasonBennett/oldify,2020-12-07T15:12:10Z,1,1,JavaScript,True,True,mit
jeremydmiller,jeremydmiller/Reversibility,2012-10-01T15:06:23Z,0,0,,True,True,
daltoniam,daltoniam/GPLib-iOS,2012-07-20T01:19:21Z,10,10,Objective-C,True,True,
kcharwood,kcharwood/MM-Dribbble,2012-03-28T20:14:40Z,1,1,,True,True,
achillean,achillean/Shodan.NET,2011-02-09T00:33:22Z,11,11,C#,True,True,
SiliconLabs,SiliconLabs/trdb-client-releases,2016-08-30T18:43:07Z,0,0,,False,False,
rachaelshaw,rachaelshaw/sails-wiki,2013-07-10T22:32:51Z,0,0,,True,False,
mappum,mappum/mongorest,2012-05-18T02:37:00Z,1,1,JavaScript,True,True,
Embarcadero,Embarcadero/CppBootCamp2016,2016-08-11T18:25:48Z,7,7,C++,True,True,
landley,landley/aboriginal,2016-01-22T00:55:54Z,197,197,HTML,True,True,
trapexit,trapexit/erlang-hacks,2012-03-15T02:11:52Z,0,0,Erlang,True,True,bsd-2-clause
kanzure,kanzure/shelltrance,2009-07-07T15:40:01Z,1,1,,True,True,
tswicegood,tswicegood/paradoxically,2011-06-29T20:53:37Z,1,1,,True,True,
juntao,juntao/GithubBrowser,2011-10-02T05:25:01Z,2,2,Objective-C,True,True,
